1401176735534694401 1401176735534694401 2021-06-05-13:59:01 0 35
1401176714089222148 1401176714089222148 2021-06-05-13:58:55 12 25
1401176709932765184 1401176709932765184 2021-06-05-13:58:54 70 11
1401176709811130369 1401176709811130369 2021-06-05-13:58:54 317 19
1401176603590201344 1401176603590201344 2021-06-05-13:58:29 254 22
1401176581289164806 1401176581289164806 2021-06-05-13:58:24 0 45
1401176568744091651 1401176568744091651 2021-06-05-13:58:21 0 35
1401176564063145984 1401176564063145984 2021-06-05-13:58:20 0 27
1401176560254832642 1401176560254832642 2021-06-05-13:58:19 9 21
1401176477341831170 1401176477341831170 2021-06-05-13:57:59 0 15
1401176465794863107 1401176465794863107 2021-06-05-13:57:56 0 32
1401176440893214727 1401176440893214727 2021-06-05-13:57:50 0 35
1401176363709734923 1401176363709734923 2021-06-05-13:57:32 0 38
1401176342872399873 1401176342872399873 2021-06-05-13:57:27 0 55
1401176339785342976 1401176339785342976 2021-06-05-13:57:26 0 37
1401176332298510343 1401176332298510343 2021-06-05-13:57:24 0 40
1401176330138492933 1401176330138492933 2021-06-05-13:57:24 0 25
1401176282247876614 1401176282247876614 2021-06-05-13:57:12 0 43
1401176260672376834 1401176260672376834 2021-06-05-13:57:07 0 24
1401176245015093249 1401176245015093249 2021-06-05-13:57:04 0 8
1401176220541272071 1401176220541272071 2021-06-05-13:56:58 0 23
1401176127054528512 1401176127054528512 2021-06-05-13:56:35 9 20
1401176105994829832 1401176105994829832 2021-06-05-13:56:30 0 47
1401176096444461057 1401176096444461057 2021-06-05-13:56:28 0 27
1401175979372990470 1401175979372990470 2021-06-05-13:56:00 22 16
1401175967465418757 1401175967465418757 2021-06-05-13:55:57 9 19
1401175938931609600 1401175938931609600 2021-06-05-13:55:51 13 22
1401175922556944385 1401175922556944385 2021-06-05-13:55:47 0 44
1401175917679022080 1401175917679022080 2021-06-05-13:55:46 5 6
1401175860095459329 1401175860095459329 2021-06-05-13:55:32 0 50
1401175849970380803 1401175849970380803 2021-06-05-13:55:29 47 16
1401175832920535041 1401175832920535041 2021-06-05-13:55:25 98 20
1401175822313181186 1401175822313181186 2021-06-05-13:55:23 11 17
1401175817699344387 1401175817699344387 2021-06-05-13:55:22 0 17
1401175805640781826 1401175805640781826 2021-06-05-13:55:19 0 14
1401175793125019651 1401175793125019651 2021-06-05-13:55:16 163 16
1401175772879015938 1401175772879015938 2021-06-05-13:55:11 0 37
1401175769271967745 1401175769271967745 2021-06-05-13:55:10 20 16
1401175763295014915 1401175763295014915 2021-06-05-13:55:09 237 17
1401175753199345668 1401175753199345668 2021-06-05-13:55:06 2 7
