1401589206607147014 1401589206607147014 2021-06-06-17:18:01 20 21
1401589197501255686 1401589197501255686 2021-06-06-17:17:59 7 17
1401589191348207624 1401589191348207624 2021-06-06-17:17:58 27 22
1401589183085531138 1401589183085531138 2021-06-06-17:17:56 380 21
1401589160230768650 1401589160230768650 2021-06-06-17:17:50 1 15
1401589151397564417 1401589151397564417 2021-06-06-17:17:48 1 7
1401589146930618376 1401589146930618376 2021-06-06-17:17:47 1 15
1401589103121125377 1401589103121125377 2021-06-06-17:17:37 1 33
1401589097437798405 1401589097437798405 2021-06-06-17:17:35 1 11
1401589084741681152 1401589084741681152 2021-06-06-17:17:32 2 16
1401589075342155779 1401589075342155779 2021-06-06-17:17:30 4 18
1401589075191250949 1401589075191250949 2021-06-06-17:17:30 7 23
1401589036796502019 1401589036796502019 2021-06-06-17:17:21 1 4
1401589025924845573 1401589025924845573 2021-06-06-17:17:18 268 17
1401589004873703425 1401589004873703425 2021-06-06-17:17:13 11 22
1401588993674911754 1401588993674911754 2021-06-06-17:17:11 31 24
1401588991691010051 1401588991691010051 2021-06-06-17:17:10 1 47
1401588935466311684 1401588935466311684 2021-06-06-17:16:57 1 16
1401588926641541124 1401588926641541124 2021-06-06-17:16:55 20 21
1401588898078277634 1401588898078277634 2021-06-06-17:16:48 22 25
1401588896467767301 1401588896467767301 2021-06-06-17:16:47 57 23
1401588888750206977 1401588888750206977 2021-06-06-17:16:45 168 25
1401588885512245250 1401588885512245250 2021-06-06-17:16:45 1 18
1401588883851198473 1401588883851198473 2021-06-06-17:16:44 4 22
1401588871582957571 1401588871582957571 2021-06-06-17:16:41 164 22
1401588852976926722 1401588852976926722 2021-06-06-17:16:37 275 20
1401588852939280390 1401588852939280390 2021-06-06-17:16:37 1 21
1401588844127047683 1401588844127047683 2021-06-06-17:16:35 13 21
1401588803547111427 1401588803547111427 2021-06-06-17:16:25 1 25
1401588801688965124 1401588801688965124 2021-06-06-17:16:25 9 18
1401588660416491520 1401588660416491520 2021-06-06-17:15:51 1 30
1401588647061819400 1401588647061819400 2021-06-06-17:15:48 25 18
1401588640782954499 1401588640782954499 2021-06-06-17:15:46 1 6
1401588633275179014 1401588633275179014 2021-06-06-17:15:45 1 4
1401588604619706370 1401588604619706370 2021-06-06-17:15:38 164 22
1401588603382382593 1401588603382382593 2021-06-06-17:15:37 275 20
1401588584419835908 1401588584419835908 2021-06-06-17:15:33 27 22
1401588582108876801 1401588582108876801 2021-06-06-17:15:32 244 19
1401588555613356035 1401588555613356035 2021-06-06-17:15:26 2 6
1401588554103410689 1401588554103410689 2021-06-06-17:15:26 1 39
1401588553218396160 1401588553218396160 2021-06-06-17:15:26 3 18
1401588549548490754 1401588549548490754 2021-06-06-17:15:25 1 5
1401588483521761284 1401588483521761284 2021-06-06-17:15:09 275 20
1401588481546141701 1401588481546141701 2021-06-06-17:15:08 4 18
1401588474243866624 1401588474243866624 2021-06-06-17:15:07 1 6
1401588457999323138 1401588457999323138 2021-06-06-17:15:03 2 14
1401588445068288009 1401588445068288009 2021-06-06-17:15:00 1 13
1401588443487080450 1401588443487080450 2021-06-06-17:14:59 205 20
1401588431801786374 1401588431801786374 2021-06-06-17:14:57 1 18
1401588374406901766 1401588374406901766 2021-06-06-17:14:43 2 16
1401588364185382914 1401588364185382914 2021-06-06-17:14:40 1 48
1401588354781749251 1401588354781749251 2021-06-06-17:14:38 1 33
1401588312939376640 1401588312939376640 2021-06-06-17:14:28 5 14
1401588298393473026 1401588298393473026 2021-06-06-17:14:25 4 19
1401588277103169536 1401588277103169536 2021-06-06-17:14:20 275 20
1401588275274465284 1401588275274465284 2021-06-06-17:14:19 164 22
1401588171897507844 1401588171897507844 2021-06-06-17:13:55 105 20
1401588168277778438 1401588168277778438 2021-06-06-17:13:54 1 56
1401588153027268608 1401588153027268608 2021-06-06-17:13:50 1 2
1401588141429952513 1401588141429952513 2021-06-06-17:13:47 1 20
1401588094172868621 1401588094172868621 2021-06-06-17:13:36 58 17
1401588086853836807 1401588086853836807 2021-06-06-17:13:34 205 20
1401588051323801600 1401588051323801600 2021-06-06-17:13:26 11 22
1401588044461977602 1401588044461977602 2021-06-06-17:13:24 1 29
1401588035414904834 1401588035414904834 2021-06-06-17:13:22 495 25
1401588027592515590 1401588027592515590 2021-06-06-17:13:20 4 19
1401588020772577289 1401588020772577289 2021-06-06-17:13:19 275 20
1401587998521757698 1401587998521757698 2021-06-06-17:13:13 1 3
1401587995082465289 1401587995082465289 2021-06-06-17:13:12 380 21
1401587941613395968 1401587941613395968 2021-06-06-17:13:00 1 52
1401587907039842307 1401587907039842307 2021-06-06-17:12:51 7 23
1401587896696684547 1401587896696684547 2021-06-06-17:12:49 1 19
1401587893609635840 1401587893609635840 2021-06-06-17:12:48 1 32
1401587886055739399 1401587886055739399 2021-06-06-17:12:46 4 19
1401587881341292548 1401587881341292548 2021-06-06-17:12:45 36 21
1401587875704197122 1401587875704197122 2021-06-06-17:12:44 1 21
